start station name,start_lat,start_lng,end_lat,end_lng,NTACode
Edgecombe Ave & W 145 St,40.823498,-73.94386,40.818477,-73.947568,MN04
W 140 St & Riverside Dr,40.824013,-73.95474300000001,40.76915505,-73.98191841,MN04
Edgecombe Ave & W 145 St,40.823498,-73.94386,40.809725,-73.953149,MN04
Edgecombe Ave & W 150 St,40.826881,-73.941427,40.826881,-73.941427,MN04
W 140 St & Riverside Dr,40.824013,-73.95474300000001,40.76915505,-73.98191841,MN04
Riverside Dr & W 153 St,40.832164,-73.949702,40.84004,-73.942939,MN04
W 145 St & Amsterdam Ave,40.825244,-73.947257,40.76344058,-73.98268129,MN04
W 140 St & Riverside Dr,40.824013,-73.95474300000001,40.7974772,-73.9311847,MN04
W 145 St & Amsterdam Ave,40.825244,-73.947257,40.830262,-73.92339100000001,MN04
Broadway & W 153 St,40.831327,-73.946665,40.831327,-73.946665,MN04
Amsterdam Ave & W 152 St,40.829522999999995,-73.94427900000001,40.848282,-73.941343,MN04
Bradhurst Ave & W 148 St,40.825125,-73.941616,40.805159,-73.95469200000001,MN04
W 145 St & Amsterdam Ave,40.825244,-73.947257,40.77163851,-73.98261428,MN04
Riverside Dr & W 138 St,40.823168,-73.955857,40.827304999999996,-73.951989,MN04
Bradhurst Ave & W 148 St,40.825125,-73.941616,40.812191,-73.937838,MN04
Broadway & W 153 St,40.831327,-73.946665,40.822756,-73.951346,MN04
Edgecombe Ave & W 145 St,40.823498,-73.94386,40.834468,-73.939865,MN04
Bradhurst Ave & W 148 St,40.825125,-73.941616,40.805159,-73.95469200000001,MN04
Broadway & W 153 St,40.831327,-73.946665,40.83299,-73.94592,MN04
Riverside Dr & W 145 St,40.827304999999996,-73.951989,40.829114000000004,-73.95042600000001,MN04
W 145 St & Amsterdam Ave,40.825244,-73.947257,40.805089,-73.91888900000001,MN04
Riverside Dr & W 148 St,40.829114000000004,-73.95042600000001,40.805973,-73.964928,MN04
Bradhurst Ave & W 148 St,40.825125,-73.941616,40.818477,-73.947568,MN04
St. Nicholas Ave & W 155 St,40.830663,-73.941323,40.830663,-73.941323,MN04
W 148 St & Amsterdam Ave,40.827075,-73.945909,40.812346000000005,-73.946168,MN04
Hamilton Pl & W 140 St,40.822756,-73.951346,40.83299,-73.94592,MN04
Riverside Dr & W 138 St,40.823168,-73.955857,40.793134809866636,-73.97700369358063,MN04
W 146 St & Broadway,40.826969,-73.949738,40.81899,-73.90202,MN04
Hamilton Pl & W 140 St,40.822756,-73.951346,40.830663,-73.941323,MN04
Hamilton Pl & W 138 St,40.821728,-73.952761,40.821111,-73.935971,MN04
Riverside Dr & W 145 St,40.827304999999996,-73.951989,40.839137,-73.941409,MN04
Riverside Dr & W 138 St,40.823168,-73.955857,40.824013,-73.95474300000001,MN04
Bradhurst Ave & W 148 St,40.825125,-73.941616,40.842172999999995,-73.93511099999999,MN04
St Nicholas Ave & W 150 St,40.827212,-73.942722,40.835775,-73.9434,MN04
Edgecombe Ave & W 150 St,40.826881,-73.941427,40.805726,-73.936322,MN04
Riverside Dr & W 153 St,40.832164,-73.949702,40.832164,-73.949702,MN04
Edgecombe Ave & W 145 St,40.823498,-73.94386,40.8114323,-73.95187759999999,MN04
Riverside Dr & W 138 St,40.823168,-73.955857,40.818298999999996,-73.96040500000001,MN04
St Nicholas Ave & W 150 St,40.827212,-73.942722,40.832081,-73.942386,MN04
Edgecombe Ave & W 145 St,40.823498,-73.94386,40.834468,-73.939865,MN04
W 145 St & Amsterdam Ave,40.825244,-73.947257,40.825244,-73.947257,MN04
Hamilton Pl & W 138 St,40.821728,-73.952761,40.8190344,-73.95615600000001,MN04
St Nicholas Ave & W 150 St,40.827212,-73.942722,40.813358,-73.956461,MN04
Hamilton Pl & W 138 St,40.821728,-73.952761,40.779668090073116,-73.98093044757842,MN04
